"Record ID","Batch ID","BusinessNameLookup","Cannabinoids Customer View","Data Input Into METRC","Date Accepted","Date Destroyed","Dry Mass","Hide Potential Cannabinoids On Reports","License Number","Manifest ID","METRC Number","Notes","Package Amount","Product Name","Product Type","Report Approval","Report Generation","ResidualSolvents Customer View","Rush Order","Sample ID","none","Sample Mass","Sub Sample Mass Cannabinoids","Sub Sample Mass Residual Solvents","Sub Sample Mass Terpenes","Storage Location","Terpenes Customer View","Test Completion","Tests To Perform","Unused Product Mass","Weighboat","Wet Mass","Created By User","Created"
"206341","80615M2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:08 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005632",,,"Sour Caddy Dab","Concentrate","8/26/2015","8/26/2015",,,"206341",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:05 PM"
"206340","80615M2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:12 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005631",,,"Sour Caddy Vape","Concentrate","8/26/2015","8/26/2015",,,"206340",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:04 PM"
"206339","80715M2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:16 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005630",,,"Swiss Gold Dab","Concentrate","8/26/2015","8/26/2015",,,"206339",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:00 PM"
"206338","80715M2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:26 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005629",,,"Swiss Gold Vape","Concentrate","8/26/2015","8/26/2015",,,"206338",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:59 PM"
"206337","80715M1","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:33 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005628",,,"Sour Tsunami Dab","Concentrate","8/26/2015","8/26/2015",,,"206337",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:56 PM"
"206336","807156M1","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005627",,,"Sour Tsunami Vape","Concentrate","8/26/2015","8/26/2015",,,"206336",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:53 PM"
"206335","80615M1","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005626",,,"Harlequin Dab","Concentrate","8/26/2015","8/26/2015",,,"206335",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:46 PM"
"206334","80615M1","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005625",,,"Harlequin Vape","Concentrate","8/26/2015","8/26/2015",,,"206334",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:44 PM"
"206333","81015M1","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005624",,,"CBD Sugar #2 Dab","Concentrate","8/26/2015","8/26/2015",,,"206333",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:43 PM"
"206332","81015M1","THChocolate LLC (EvoLab)","Aug 27, 2015 8:14:07 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005623",,,"CBD Sugar #2 Vape","Concentrate","8/26/2015","8/26/2015",,,"206332",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:41 PM"
"206331","80515M2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:14:02 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005622",,,"Fem Diesel Dab","Concentrate","8/26/2015","8/26/2015",,,"206331",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:39 PM"
"206330","M0515M2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:57 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005621",,,"Fem Diesel Vape","Concentrate","8/26/2015","8/26/2015",,,"206330",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:34 PM"
"206329","80415M3","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:53 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005620",,,"CBDiesel Dab","Concentrate","8/26/2015","8/26/2015",,,"206329",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:32 PM"
"206328","80415M3","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:47 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005619",,,"CBDiesel Vape","Concentrate","8/26/2015","8/26/2015",,,"206328",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:31 PM"
"206327","80715M3","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005618",,,"CBD Blend #1 Dab","Concentrate","8/26/2015","8/26/2015",,,"206327",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:29 PM"
"206326","80715M3","THChocolate LLC (EvoLab)","Aug 27, 2015 8:13:40 am","8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000005617",,,"CBD Blend #1 Vape","Concentrate","8/26/2015","8/26/2015",,,"206326",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:28 PM"
"206325","80915M1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404-00048","477910","1A400050026874B000004609",,,"CBD Sugar Dab","Concentrate",,,,,"206325",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:23 PM"
"206324","80915M1","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404-00048","477910","1A400050026874B000004608",,,"CBD Sugar Vape","Concentrate","8/26/2015","8/26/2015",,,"206324",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:18 PM"
"206323","MFD39.1","Cold Baked LLC",,,"8/25/2015",,,,"404-00345","476352","1A400050026875D900001191",,,"Dabble Hash Shatter","Concentrate",,,,,"206323",,0.5,,,,"s4-i17",,,"Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 2:13 PM"
"206322",,"Revtec LLC",,"8/26/2015","8/25/2015",,,,"404R-00024","477775","1A4000312687498000003716",,,"Caviar Sample Wax","Concentrate","8/26/2015","8/26/2015",,,"206322",,1,,,,"s6",,"8/26/2015","Potency, Residual Solvents",,,,"Jessica Reedy<jreedy@phytatech.com>","8/25/15 12:47 PM"
"206321","14381","Infuzionz, LLC (The Green Solution)","Aug 27, 2015 7:27:18 am","8/26/2015","8/25/2015",,,,"404R-00003","476489","1A4000312687483000014775",,,"Sativa B-Oil Dropz","Concentrate","8/26/2015","8/26/2015",,,"206321",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:38 AM"
"206320","14702","Infuzionz, LLC (The Green Solution)",,"8/26/2015","8/25/2015",,,,"404R-00003","476489","1A4000312687483000014704",,,"Flo Wax","Concentrate","8/26/2015","8/26/2015",,,"206320",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:36 AM"
"206319","14700","Infuzionz, LLC (The Green Solution)",,"8/26/2015","8/25/2015",,,,"404R-00003","476489","1A4000312687483000014701",,,"Flo Slipper Wax","Concentrate","8/26/2015","8/26/2015",,,"206319",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:35 AM"
"206318","14697","Infuzionz, LLC (The Green Solution)",,"8/26/2015","8/25/2015",,,,"404R-00003","476489","1A4000312687483000014698",,,"Atlantis Wax","Concentrate","8/26/2015","8/26/2015",,,"206318",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:33 AM"
"206317","14664","Infuzionz, LLC (The Green Solution)",,"8/26/2015","8/25/2015",,,,"404R-00003","476489","1a4000312687483000014665",,,"OG Kush Skunk #1 Wax","Concentrate","8/26/2015","8/26/2015",,,"206317",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:32 AM"
"206316","6034","The Green Solution",,"8/26/2015","8/25/2015",,"1.8116",,"403-00179","477651","1A4000500266EE9300006052",,,"FLOx WB3 #13","Flower","8/26/2015","8/26/2015",,,"206316",,1.06,,,,"S4-F12",,,"Potency, Terpenes",,,"1.84","Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:28 AM"
"206315","6033","The Green Solution",,"8/26/2015","8/25/2015",,"1.7892",,"403-00179","477651","1A4000500266EE9300006053",,,"FLOxWB3 #6","Flower","8/26/2015","8/26/2015",,,"206315",,1.01,,,,"S4-F12",,,"Potency, Terpenes",,,"1.8157","Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:25 AM"
"206314","6018","The Green Solution",,"8/26/2015","8/25/2015",,"1.7831",,"403-00179","477651","1A4000500266EE9300006051",,,"FLOxWB3 #56","Flower","8/26/2015","8/26/2015",,,"206314",,1,,,,"S4-F12",,,"Potency, Terpenes",,,"1.8104","Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:21 AM"
"206313","6016","The Green Solution",,"8/26/2015","8/25/2015",,"1.8288",,"403-00179","477651","1A4000500266EE9300006048",,,"FLOxWB3 #33","Flower","8/26/2015","8/26/2015",,,"206313",,1.03,,,,"S4-F12",,,"Potency, Terpenes",,,"1.8546","Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:16 AM"
"206312","6013","The Green Solution",,"8/26/2015","8/25/2015",,"1.7226",,"403-00179","477651","1A4000500266EE9300006049",,,"FLOxWB3 #64","Flower","8/26/2015","8/26/2015",,,"206312",,0.93,,,,"s4-f12",,,"Potency, Terpenes",,,"1.7446","Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:13 AM"
"206311",,"The Green Solution",,"8/26/2015","8/25/2015",,"1.8419",,"403-00179","477651","1A4000500266EE9300006050",,,"FLOxWB3 #35","Flower","8/26/2015","8/26/2015",,,"206311",,1.17,,,,"s4-f12",,,"Potency, Terpenes",,,"1.8691","Jessica Reedy<jreedy@phytatech.com>","8/25/15 11:09 AM"
"206310","M0096","EBBU LLC","Aug 26, 2015 7:40:23 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000108-190",,,"Hash 190 Micron","Concentrate","8/25/2015","8/25/2015",,,"206310",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:34 PM"
"206309","M0096","EBBU LLC","Aug 26, 2015 7:40:01 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000108-73",,,"Hash 73 Micron","Concentrate","8/25/2015","8/25/2015",,,"206309",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:34 PM"
"206308","M0096","EBBU LLC","Aug 26, 2015 7:39:25 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000108-25",,,"Hash 25 Micron","Concentrate","8/25/2015","8/25/2015",,,"206308",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:31 PM"
"206307","M0102","EBBU LLC","Aug 26, 2015 7:39:05 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000107-190",,,"Hash 190 Micron","Concentrate","8/25/2015","8/25/2015",,,"206307",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:29 PM"
"206306","M0102","EBBU LLC","Aug 26, 2015 7:38:43 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000107-120",,,"Hash 120 Micron","Concentrate","8/25/2015","8/25/2015",,,"206306",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:28 PM"
"206305","M0102","EBBU LLC","Aug 26, 2015 7:38:21 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000107-73",,,"Hash 73 Micron","Concentrate","8/25/2015","8/25/2015",,,"206305",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:27 PM"
"206304","M0102","EBBU LLC","Aug 26, 2015 7:32:41 pm","8/25/2015","8/24/2015",,,,"404-00440","476218","1A4000500268763800000107-25",,,"Hash 25 Micron","Concentrate","8/25/2015","8/25/2015",,,"206304",,0.5,,,,"S4-I17",,"8/25/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/24/15 3:20 PM"
